State,City_Type,Store_Type,Store_Count,SKU_Count,Inventory_Management,Ordering_Method,Stockout_Frequency,Overstock_Frequency,Unsold_Inventory_Percentage,Supplier_Count,Supplier_Lead_Time,Top_Selling_Category,Demand_Driver,Peak_Season_Demand_Change,Combination_Purchase_Frequency,Common_Product_Combinations,Digital_Sales_Data_Years,Decision_Maker,AI_Comfort_Level,Most_Valuable_Feature,Monthly_Inventory_Purchase_Value,Monthly_Software_Budget,Adoption_Motivation,Adoption_Likelihood
Other,Tier 2 city,Grocery / Supermarket,1 store,2000–5000,POS or billing software,Sales reports / historical data,Weekly,Rarely,More than 30%,10–20 suppliers,Highly variable,FMCG / grocery items,Regular repeat customers,Slight increase,Sometimes,Rice + cooking oil,1–3 years,Distributor recommendation,Somewhat comfortable,Demand forecasting,₹1–5 lakh,₹3000–₹7000,Better supplier management,Unlikely
Other,Tier 1 city,Grocery / Supermarket,6–10 stores,500–2000,POS or billing software,Sales reports / historical data,Rarely,Very frequently,5–10%,10–20 suppliers,3–5 days,FMCG / grocery items,Promotions / discounts,Increases significantly,Sometimes,Snacks + beverages,More than 3 years,Store owner,Not comfortable,Automatic reorder suggestions,More than ₹50 lakh,More than ₹15000,Reduced stockouts,Likely
Telangana,Tier 1 city,Electronics,2–5 stores,2000–5000,Excel / spreadsheets,Past experience / intuition,Daily,Never,10–20%,4–10 suppliers,1 week,Electronics,Promotions / discounts,Slight increase,Sometimes,Other,1–3 years,Store owner,Neutral,Promotion demand prediction,₹10–50 lakh,₹7000–₹15000,Lower inventory cost,Unlikely
Telangana,Rural,Apparel / Fashion,1 store,Less than 500,Manual notebook / paper records,Past experience / intuition,Weekly,Never,Less than 5%,1–3 suppliers,1 week,Apparel / clothing,Promotions / discounts,No change,Sometimes,Saree + blouse,More than 3 years,Operations manager,Not comfortable,Inventory alerts,₹5–10 lakh,₹7000–₹15000,Lower inventory cost,Likely
Uttar Pradesh,Tier 1 city,Pharmacy / Medical Store,6–10 stores,500–2000,POS or billing software,Combination of methods,Weekly,Rarely,5–10%,1–3 suppliers,3–5 days,Medicines / healthcare products,Regular repeat customers,Slight increase,Sometimes,Medicines + health supplements,Less than 1 year,Operations manager,Somewhat comfortable,Inventory alerts,₹5–10 lakh,₹7000–₹15000,Increased revenue,Very likely
Telangana,Tier 2 city,Grocery / Supermarket,1 store,Less than 500,Excel / spreadsheets,Supplier recommendations,Rarely,Occasionally,20–30%,4–10 suppliers,1 week,FMCG / grocery items,Promotions / discounts,Slight increase,Sometimes,Snacks + beverages,More than 3 years,Operations manager,Very comfortable,Inventory alerts,₹5–10 lakh,₹3000–₹7000,Automated purchasing,Maybe
Other,Tier 2 city,Grocery / Supermarket,1 store,Less than 500,Excel / spreadsheets,Past experience / intuition,Daily,Occasionally,10–20%,10–20 suppliers,Same day,FMCG / grocery items,Promotions / discounts,Increases significantly,Rarely,Rice + cooking oil,Less than 1 year,Operations manager,Neutral,Automatic reorder suggestions,₹5–10 lakh,More than ₹15000,Lower inventory cost,Maybe
Other,Tier 3 city / small town,Beauty / Cosmetics,25+ stores,Less than 500,Excel / spreadsheets,Past experience / intuition,Weekly,Rarely,More than 30%,More than 20 suppliers,3–5 days,Beauty / cosmetics,Social media trends,Difficult to predict,Rarely,Shampoo + conditioner,Less than 1 year,Operations manager,Neutral,Promotion demand prediction,₹1–5 lakh,₹1000–₹3000,Lower inventory cost,Unlikely
Maharashtra,Rural,Other,2–5 stores,500–2000,POS or billing software,Sales reports / historical data,Monthly,Rarely,5–10%,4–10 suppliers,1–2 days,Electronics,Festivals,Difficult to predict,Sometimes,Other,Less than 1 year,Head office / franchise owner,Not comfortable,Inventory alerts,Less than ₹1 lakh,₹7000–₹15000,Lower inventory cost,Likely
Tamil Nadu,Tier 1 city,Grocery / Supermarket,1 store,5000–10000,Excel / spreadsheets,Sales reports / historical data,Monthly,Occasionally,Less than 5%,10–20 suppliers,1 week,FMCG / grocery items,Festivals,Increases significantly,Rarely,Snacks + beverages,1–3 years,Store owner,Very comfortable,Demand forecasting,₹5–10 lakh,Less than ₹1000,Automated purchasing,Maybe
Uttar Pradesh,Tier 2 city,Apparel / Fashion,1 store,500–2000,ERP or inventory management software,Past experience / intuition,Monthly,Rarely,10–20%,10–20 suppliers,1 week,Apparel / clothing,Regular repeat customers,Increases significantly,Sometimes,Other,1–3 years,Store owner,Somewhat comfortable,Demand forecasting,₹1–5 lakh,₹1000–₹3000,Lower inventory cost,Likely
Telangana,Tier 3 city / small town,Pharmacy / Medical Store,1 store,5000–10000,Combination of multiple tools,Past experience / intuition,Rarely,Never,20–30%,More than 20 suppliers,3–5 days,Medicines / healthcare products,Festivals,Difficult to predict,Sometimes,Medicines + health supplements,1–3 years,Store owner,Somewhat comfortable,Inventory alerts,Less than ₹1 lakh,More than ₹15000,Automated purchasing,Definitely not
Other,Tier 3 city / small town,Grocery / Supermarket,2–5 stores,500–2000,Excel / spreadsheets,Past experience / intuition,Monthly,Never,10–20%,1–3 suppliers,1 week,FMCG / grocery items,Promotions / discounts,Difficult to predict,Yes frequently,Snacks + beverages,1–3 years,Head office / franchise owner,Neutral,Demand forecasting,₹5–10 lakh,₹1000–₹3000,Better supplier management,Likely
Other,Tier 2 city,Grocery / Supermarket,2–5 stores,500–2000,Excel / spreadsheets,Combination of methods,Monthly,Rarely,5–10%,More than 20 suppliers,3–5 days,FMCG / grocery items,Festivals,Difficult to predict,Sometimes,Rice + cooking oil,Less than 1 year,Store owner,Very comfortable,Inventory alerts,Less than ₹1 lakh,₹1000–₹3000,Lower inventory cost,Maybe
West Bengal,Tier 2 city,Grocery / Supermarket,1 store,2000–5000,Manual notebook / paper records,Past experience / intuition,Weekly,Occasionally,5–10%,10–20 suppliers,1–2 days,FMCG / grocery items,Promotions / discounts,Slight increase,Yes frequently,Rice + cooking oil,1–3 years,Store owner,Somewhat comfortable,Automatic reorder suggestions,Less than ₹1 lakh,₹3000–₹7000,Automated purchasing,Very likely
West Bengal,Tier 2 city,General Store / Kirana,2–5 stores,5000–10000,Combination of multiple tools,Past experience / intuition,Monthly,Rarely,Less than 5%,4–10 suppliers,Highly variable,FMCG / grocery items,Festivals,Slight increase,Rarely,Rice + cooking oil,1–3 years,Store owner,Somewhat comfortable,Promotion demand prediction,₹1–5 lakh,₹7000–₹15000,Reduced stockouts,Unlikely
Maharashtra,Tier 1 city,Grocery / Supermarket,2–5 stores,More than 10000,Excel / spreadsheets,Sales reports / historical data,Rarely,Occasionally,5–10%,10–20 suppliers,1–2 days,FMCG / grocery items,Promotions / discounts,Difficult to predict,Yes frequently,Other,Less than 1 year,Store owner,Very comfortable,Automatic reorder suggestions,₹1–5 lakh,₹1000–₹3000,Automated purchasing,Maybe
Other,Tier 1 city,Grocery / Supermarket,2–5 stores,500–2000,Combination of multiple tools,Sales reports / historical data,Weekly,Never,5–10%,1–3 suppliers,3–5 days,FMCG / grocery items,Festivals,Increases significantly,Sometimes,Snacks + beverages,No digital data,Head office / franchise owner,Somewhat comfortable,Promotion demand prediction,₹5–10 lakh,₹1000–₹3000,Automated purchasing,Unlikely
Rajasthan,Rural,Electronics,1 store,500–2000,Manual notebook / paper records,Combination of methods,Weekly,Very frequently,Less than 5%,1–3 suppliers,1–2 days,Electronics,Festivals,Increases significantly,Yes frequently,Other,1–3 years,Store owner,Somewhat comfortable,Automatic reorder suggestions,₹1–5 lakh,₹1000–₹3000,Reduced stockouts,Maybe
Gujarat,Tier 3 city / small town,Grocery / Supermarket,2–5 stores,500–2000,ERP or inventory management software,Software analytics,Rarely,Never,5–10%,10–20 suppliers,1 week,FMCG / grocery items,Seasonal weather,Difficult to predict,Yes frequently,Rice + cooking oil,More than 3 years,Head office / franchise owner,Not comfortable,Demand forecasting,₹5–10 lakh,More than ₹15000,Reduced stockouts,Maybe
Other,Tier 2 city,Beauty / Cosmetics,1 store,500–2000,Excel / spreadsheets,Supplier recommendations,Monthly,Rarely,5–10%,10–20 suppliers,3–5 days,Beauty / cosmetics,Seasonal weather,Slight increase,Sometimes,Other,Less than 1 year,Operations manager,Very comfortable,Demand forecasting,₹1–5 lakh,₹7000–₹15000,Increased revenue,Likely
Delhi/NCR,Tier 1 city,Pharmacy / Medical Store,6–10 stores,Less than 500,POS or billing software,Past experience / intuition,Rarely,Rarely,5–10%,10–20 suppliers,1–2 days,Medicines / healthcare products,Promotions / discounts,No change,Yes frequently,Other,1–3 years,Head office / franchise owner,Not comfortable,Demand forecasting,₹1–5 lakh,More than ₹15000,Reduced stockouts,Definitely not
Telangana,Tier 1 city,Electronics,2–5 stores,2000–5000,POS or billing software,Past experience / intuition,Weekly,Never,5–10%,10–20 suppliers,3–5 days,Electronics,Regular repeat customers,Increases significantly,Yes frequently,Other,More than 3 years,Head office / franchise owner,Not comfortable,Automatic reorder suggestions,₹1–5 lakh,More than ₹15000,Lower inventory cost,Likely
Tamil Nadu,Tier 3 city / small town,Pharmacy / Medical Store,1 store,2000–5000,Excel / spreadsheets,Sales reports / historical data,Weekly,Never,10–20%,10–20 suppliers,1–2 days,Medicines / healthcare products,Seasonal weather,Slight increase,Sometimes,Medicines + health supplements,Less than 1 year,Store owner,Neutral,Automatic reorder suggestions,₹1–5 lakh,₹1000–₹3000,Lower inventory cost,Very likely
Other,Tier 2 city,Grocery / Supermarket,1 store,500–2000,Combination of multiple tools,Sales reports / historical data,Almost never,Rarely,Less than 5%,4–10 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Slight increase,Yes frequently,Rice + cooking oil,1–3 years,Store owner,Somewhat comfortable,Supplier performance insights,₹1–5 lakh,₹1000–₹3000,Automated purchasing,Maybe
Uttar Pradesh,Tier 2 city,General Store / Kirana,1 store,500–2000,Excel / spreadsheets,Combination of methods,Rarely,Occasionally,5–10%,4–10 suppliers,3–5 days,FMCG / grocery items,Seasonal weather,Increases significantly,Rarely,Snacks + beverages,More than 3 years,Store owner,Not comfortable,Automatic reorder suggestions,More than ₹50 lakh,₹7000–₹15000,Automated purchasing,Unlikely
Rajasthan,Tier 1 city,Apparel / Fashion,2–5 stores,5000–10000,ERP or inventory management software,Sales reports / historical data,Monthly,Occasionally,5–10%,4–10 suppliers,3–5 days,Apparel / clothing,Social media trends,Difficult to predict,Never,Saree + blouse,No digital data,Store owner,Neutral,Demand forecasting,₹1–5 lakh,Less than ₹1000,Lower inventory cost,Very likely
Maharashtra,Tier 2 city,Grocery / Supermarket,1 store,Less than 500,Excel / spreadsheets,Combination of methods,Weekly,Occasionally,10–20%,4–10 suppliers,3–5 days,FMCG / grocery items,Promotions / discounts,Difficult to predict,Yes frequently,Snacks + beverages,1–3 years,Operations manager,Very comfortable,Promotion demand prediction,₹1–5 lakh,₹7000–₹15000,Increased revenue,Very likely
Maharashtra,Tier 1 city,Grocery / Supermarket,6–10 stores,2000–5000,Manual notebook / paper records,Past experience / intuition,Daily,Rarely,5–10%,4–10 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Slight increase,Sometimes,Rice + cooking oil,More than 3 years,Store owner,Somewhat comfortable,Promotion demand prediction,Less than ₹1 lakh,₹3000–₹7000,Lower inventory cost,Unlikely
Maharashtra,Tier 2 city,General Store / Kirana,2–5 stores,500–2000,Excel / spreadsheets,Supplier recommendations,Weekly,Occasionally,Less than 5%,10–20 suppliers,3–5 days,FMCG / grocery items,Festivals,No change,Rarely,Snacks + beverages,Less than 1 year,Store owner,Somewhat comfortable,Demand forecasting,Less than ₹1 lakh,₹1000–₹3000,Automated purchasing,Likely
Tamil Nadu,Tier 1 city,Other,1 store,Less than 500,POS or billing software,Combination of methods,Weekly,Occasionally,Less than 5%,4–10 suppliers,3–5 days,Electronics,Regular repeat customers,No change,Rarely,Other,More than 3 years,Store owner,Very comfortable,Inventory alerts,₹1–5 lakh,₹3000–₹7000,Lower inventory cost,Maybe
Uttar Pradesh,Rural,General Store / Kirana,1 store,Less than 500,POS or billing software,Past experience / intuition,Almost never,Occasionally,5–10%,10–20 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,No change,Yes frequently,Snacks + beverages,More than 3 years,Operations manager,Neutral,Supplier performance insights,₹10–50 lakh,₹1000–₹3000,Automated purchasing,Maybe
Delhi/NCR,Tier 2 city,Apparel / Fashion,2–5 stores,More than 10000,Excel / spreadsheets,Past experience / intuition,Monthly,Occasionally,10–20%,1–3 suppliers,3–5 days,Apparel / clothing,Promotions / discounts,Slight increase,Sometimes,Saree + blouse,More than 3 years,Operations manager,Neutral,Supplier performance insights,₹5–10 lakh,More than ₹15000,Increased revenue,Maybe
Delhi/NCR,Tier 1 city,Apparel / Fashion,1 store,500–2000,Excel / spreadsheets,Software analytics,Rarely,Rarely,10–20%,4–10 suppliers,3–5 days,Apparel / clothing,Regular repeat customers,No change,Sometimes,Saree + blouse,1–3 years,Store owner,Not comfortable,Demand forecasting,₹1–5 lakh,₹3000–₹7000,Lower inventory cost,Maybe
Rajasthan,Tier 1 city,General Store / Kirana,6–10 stores,2000–5000,Manual notebook / paper records,Sales reports / historical data,Almost never,Occasionally,Less than 5%,10–20 suppliers,1 week,FMCG / grocery items,Promotions / discounts,Slight increase,Yes frequently,Rice + cooking oil,More than 3 years,Operations manager,Somewhat comfortable,Demand forecasting,₹5–10 lakh,Less than ₹1000,Better supplier management,Unlikely
Tamil Nadu,Tier 1 city,Beauty / Cosmetics,2–5 stores,500–2000,Excel / spreadsheets,Past experience / intuition,Weekly,Occasionally,20–30%,1–3 suppliers,1–2 days,Beauty / cosmetics,Promotions / discounts,Increases significantly,Yes frequently,Shampoo + conditioner,1–3 years,Store owner,Not comfortable,Inventory alerts,₹10–50 lakh,More than ₹15000,Reduced stockouts,Maybe
Gujarat,Tier 3 city / small town,General Store / Kirana,1 store,More than 10000,POS or billing software,Combination of methods,Monthly,Very frequently,10–20%,4–10 suppliers,3–5 days,FMCG / grocery items,Seasonal weather,Increases significantly,Sometimes,Other,1–3 years,Distributor recommendation,Neutral,Demand forecasting,₹1–5 lakh,₹3000–₹7000,Lower inventory cost,Maybe
West Bengal,Tier 2 city,Apparel / Fashion,1 store,Less than 500,POS or billing software,Past experience / intuition,Monthly,Rarely,10–20%,4–10 suppliers,3–5 days,Apparel / clothing,Promotions / discounts,Increases significantly,Yes frequently,Saree + blouse,1–3 years,Distributor recommendation,Somewhat comfortable,Demand forecasting,₹5–10 lakh,More than ₹15000,Automated purchasing,Maybe
Karnataka,Tier 2 city,Beauty / Cosmetics,1 store,2000–5000,Manual notebook / paper records,Past experience / intuition,Daily,Occasionally,5–10%,1–3 suppliers,3–5 days,Beauty / cosmetics,Promotions / discounts,No change,Rarely,Shampoo + conditioner,1–3 years,Store owner,Not comfortable,Automatic reorder suggestions,₹10–50 lakh,₹3000–₹7000,Reduced stockouts,Very likely
